timestamp, name, driver_version, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2024/04/19 16:39:58.822, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 37, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:39:58.823, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 30, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:39:58.824, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 31, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:00.825, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 79, 99 %, 37 %, 11264 MiB, 4400 MiB, 6610 MiB
2024/04/19 16:40:00.826, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 37, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:00.827, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 30, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:00.828, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 31, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:02.829, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 79, 99 %, 39 %, 11264 MiB, 4400 MiB, 6610 MiB
2024/04/19 16:40:02.829, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 37, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:02.830, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 30, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:02.831, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 31, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:04.832, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 80, 99 %, 39 %, 11264 MiB, 4400 MiB, 6610 MiB
2024/04/19 16:40:04.833, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 37, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
